Time;Realized_demand;Realized_renewable;Realized_residual_demand;Forecasted_residual_demand;(Forecasted_RD-Realized_RD)/Realized_RD
01.01.2020 00:00;7752;374.5;7377.5;8293.573744;0.124171297
01.01.2020 01:00;7320;343.75;6976.25;5888.226851;-0.155961032
01.01.2020 02:00;7165;337.5;6827.5;7288.422231;0.067509664
01.01.2020 03:00;7039;358.25;6680.75;6691.957172;0.001677532
01.01.2020 04:00;7235;380.25;6854.75;7376.015084;0.076044361
01.01.2020 05:00;7923;400;7523;7966.470017;0.05894856
01.01.2020 06:00;8698;404.25;8293.75;9424.251373;0.136307626
01.01.2020 07:00;9218;420;8798;8196.580061;-0.068358711
01.01.2020 08:00;9828;529.5;9298.5;10299.04058;0.107602364
01.01.2020 09:00;10139;753.25;9385.75;8227.580596;-0.123396575
01.01.2020 10:00;10361;874.5;9486.5;9554.73278;0.007192619
01.01.2020 11:00;10352;890.75;9461.25;9502.528677;0.00436292
01.01.2020 12:00;10573;847.5;9725.5;10381.81548;0.067483983
01.01.2020 13:00;10632;759;9873;9725.23463;-0.014966613
01.01.2020 14:00;10688;606.75;10081.25;9851.194202;-0.022820166
01.01.2020 15:00;10860;475;10385;8212.666105;-0.209179961
01.01.2020 16:00;10862;459.5;10402.5;10279.76166;-0.011798927
01.01.2020 17:00;10989;548.25;10440.75;11042.83016;0.057666371
01.01.2020 18:00;11240;659.5;10580.5;8291.718865;-0.216320697
01.01.2020 19:00;11117;698.25;10418.75;11611.99032;0.114528165
01.01.2020 20:00;10679;732.75;9946.25;10599.78927;0.065707103
01.01.2020 21:00;10215;761;9454;10211.77109;0.08015349
01.01.2020 22:00;9960;762.5;9197.5;9985.96781;0.085726318
01.01.2020 23:00;9547;722.25;8824.75;9328.736088;0.057110523
02.01.2020 00:00;8721;631.25;8089.75;7786.660664;-0.037465847
02.01.2020 01:00;8487;635.5;7851.5;8586.023811;0.093552036
02.01.2020 02:00;8258;700.75;7557.25;6272.675651;-0.169979073
02.01.2020 03:00;8086;805.5;7280.5;8057.437553;0.106714862
02.01.2020 04:00;8096;897.25;7198.75;8102.894924;0.125597489
02.01.2020 05:00;8037;973.75;7063.25;7360.535285;0.042089022
02.01.2020 06:00;8458;1071.5;7386.5;7202.370606;-0.024927827
02.01.2020 07:00;9309;1132;8177;9290.019853;0.136115917
02.01.2020 08:00;9906;1208.25;8697.75;7908.528803;-0.090738547
02.01.2020 09:00;10134;1374;8760;9044.642964;0.032493489
02.01.2020 10:00;10503;1597.5;8905.5;8308.003814;-0.067092941
02.01.2020 11:00;10739;1746.25;8992.75;9479.977168;0.054179997
02.01.2020 12:00;10732;1815.75;8916.25;7916.922692;-0.112079328
02.01.2020 13:00;10759;1884.25;8874.75;8389.673515;-0.054658045
02.01.2020 14:00;10866;1947.75;8918.25;9886.691106;0.108590935
02.01.2020 15:00;10974;2035.25;8938.75;9421.029995;0.053953852
02.01.2020 16:00;10968;2226.25;8741.75;9130.584238;0.044480137
02.01.2020 17:00;11041;2444.75;8596.25;8897.703561;0.035068031
02.01.2020 18:00;11098;2628;8470;6585.489592;-0.222492374
02.01.2020 19:00;10919;2759;8160;8125.412208;-0.0042387
02.01.2020 20:00;10498;2873.25;7624.75;8467.926223;0.110584114
02.01.2020 21:00;9883;2964.5;6918.5;7425.080678;0.073221172
02.01.2020 22:00;9168;3013.5;6154.5;5659.726882;-0.08039209
02.01.2020 23:00;8303;3078.25;5224.75;5297.432965;0.013911281
03.01.2020 00:00;7695;2825.25;4869.75;5401.210746;0.109135119
03.01.2020 01:00;7314;2866;4448;5055.608823;0.136602703
03.01.2020 02:00;7206;2886.25;4319.75;3839.82117;-0.111101066
03.01.2020 03:00;6953;2903;4050;4424.786303;0.092539828
03.01.2020 04:00;7029;2912;4117;4239.5664;0.029770804
03.01.2020 05:00;7295;2900.75;4394.25;4714.416848;0.072860408
03.01.2020 06:00;8332;2881;5451;5370.329277;-0.014799252
03.01.2020 07:00;9796;2841.25;6954.75;7432.285133;0.068663163
03.01.2020 08:00;10313;2782;7531;6367.849695;-0.154448321
03.01.2020 09:00;10564;2695;7869;8185.231062;0.040186944
03.01.2020 10:00;10621;2534.75;8086.25;6969.561872;-0.138097156
03.01.2020 11:00;10330;2399.5;7930.5;8286.675028;0.044912052
03.01.2020 12:00;10353;2401.75;7951.25;8399.479908;0.056372257
03.01.2020 13:00;10371;2669.25;7701.75;8674.99906;0.126367262
03.01.2020 14:00;10302;2791.75;7510.25;7256.113219;-0.033838658
03.01.2020 15:00;10281;2457.75;7823.25;8565.438676;0.09486961
03.01.2020 16:00;10430;2137.25;8292.75;7645.945296;-0.077996407
03.01.2020 17:00;10630;1949;8681;8215.601633;-0.053611147
03.01.2020 18:00;10612;1771.5;8840.5;8572.209408;-0.030347898
03.01.2020 19:00;10529;1748.5;8780.5;9110.879404;0.037626491
03.01.2020 20:00;10138;1773;8365;8995.171336;0.07533429
03.01.2020 21:00;9603;1841;7762;8369.105474;0.078215083
03.01.2020 22:00;9073;1954;7119;7455.954365;0.047331699
03.01.2020 23:00;8572;2073.25;6498.75;6385.863905;-0.017370432
04.01.2020 00:00;7740;1893.75;5846.25;5098.226814;-0.12794923
04.01.2020 01:00;7142;2018;5124;4674.342089;-0.087755252
04.01.2020 02:00;6875;2105.5;4769.5;4642.440382;-0.026640029
04.01.2020 03:00;6713;2198;4515;3394.673491;-0.248134332
04.01.2020 04:00;6744;2290.75;4453.25;4136.696598;-0.071083681
04.01.2020 05:00;6904;2374.25;4529.75;4208.977733;-0.070814563
04.01.2020 06:00;7150;2445;4705;4622.285907;-0.017580041
04.01.2020 07:00;7542;2513.25;5028.75;5205.979735;0.035243298
04.01.2020 08:00;8191;2631.25;5559.75;5678.276092;0.021318601
04.01.2020 09:00;8613;2799.25;5813.75;5503.190527;-0.053418099
04.01.2020 10:00;8941;2884.75;6056.25;5864.05146;-0.031735569
04.01.2020 11:00;9072;2910.75;6161.25;6284.23717;0.019961399
04.01.2020 12:00;9106;2788;6318;5651.570897;-0.105481023
04.01.2020 13:00;9300;2503.75;6796.25;7033.100549;0.034850182
04.01.2020 14:00;9370;2204.25;7165.75;6591.416363;-0.080149829
04.01.2020 15:00;9372;1927;7445;8299.720969;0.114804697
04.01.2020 16:00;9245;1792.25;7452.75;7213.471271;-0.032106099
04.01.2020 17:00;9403;1720.75;7682.25;7601.18951;-0.01055166
04.01.2020 18:00;9542;1649.25;7892.75;9035.422463;0.144774947
04.01.2020 19:00;9398;1479.25;7918.75;8418.259587;0.063079348
04.01.2020 20:00;9172;1248.75;7923.25;8414.314875;0.061977708
04.01.2020 21:00;8821;1037.25;7783.75;8496.769599;0.09160361
04.01.2020 22:00;8112;862.25;7249.75;6477.341125;-0.106542829
04.01.2020 23:00;7619;720.75;6898.25;7116.537402;0.031643881
05.01.2020 00:00;8706;266.75;8439.25;9374.282383;0.110795673
05.01.2020 01:00;7961;267.25;7693.75;8296.229274;0.078307623
05.01.2020 02:00;7156;282.75;6873.25;6888.624464;0.002236855
05.01.2020 03:00;6745;316.5;6428.5;6580.243675;0.023604834
05.01.2020 04:00;6741;407;6334;6224.222146;-0.017331521
05.01.2020 05:00;6864;521.75;6342.25;7149.23215;0.127239095
05.01.2020 06:00;6928;629.25;6298.75;6318.85042;0.003191176
05.01.2020 07:00;7526;713.75;6812.25;6329.803471;-0.070820438
05.01.2020 08:00;7883;877.5;7005.5;7318.575669;0.044689982
05.01.2020 09:00;8912;1111.5;7800.5;7862.473904;0.007944863
05.01.2020 10:00;9264;1294.25;7969.75;8712.370763;0.093179932
05.01.2020 11:00;8924;1471.25;7452.75;7442.612673;-0.001360213
05.01.2020 12:00;9400;1555;7845;7613.904869;-0.029457633
05.01.2020 13:00;9657;1487.5;8169.5;9199.658804;0.126098146
05.01.2020 14:00;9633;1361.75;8271.25;8330.124435;0.007117961
05.01.2020 15:00;9710;1251;8459;8937.044719;0.056513148
05.01.2020 16:00;9796;1278.5;8517.5;8887.45929;0.043435197
05.01.2020 17:00;10218;1391.25;8826.75;9488.031636;0.074917907
05.01.2020 18:00;10460;1478.25;8981.75;10167.72454;0.132042702
05.01.2020 19:00;10755;1531.75;9223.25;9559.383737;0.036444175
05.01.2020 20:00;10635;1572.25;9062.75;10180.43715;0.123327594
05.01.2020 21:00;10471;1606.75;8864.25;9105.867915;0.02725757
05.01.2020 22:00;9972;1571.5;8400.5;8803.548766;0.04797914
05.01.2020 23:00;9793;1555.25;8237.75;7603.611523;-0.076979573
06.01.2020 00:00;10278;1373.5;8904.5;8765.072733;-0.015658068
06.01.2020 01:00;9847;1370.75;8476.25;6853.280425;-0.191472594
06.01.2020 02:00;9518;1361.25;8156.75;9113.278834;0.117268377
06.01.2020 03:00;8979;1372.5;7606.5;7371.239801;-0.030928837
06.01.2020 04:00;9229;1428.5;7800.5;7884.927284;0.010823317
06.01.2020 05:00;10508;1451.25;9056.75;8373.16293;-0.075478187
06.01.2020 06:00;12689;1374.25;11314.75;12260.33556;0.083571052
06.01.2020 07:00;14047;1352.75;12694.25;13843.52093;0.090534764
06.01.2020 08:00;14271;1524;12747;12301.2858;-0.034966204
06.01.2020 09:00;14256;1728;12528;11008.83867;-0.121261281
