generator_index;type;max_capacity;ramp_up;ramp_down;marginal_cost
1;Nuclear;492;0.54;-0.72;0.01111
2;Fossil Hard coal;650;0.66;-0.78;0.150729
3;Fossil Hard coal;1801;0.66;-0.78;0.157803
4;Fossil Hard coal;1580;0.66;-0.78;0.1616053
5;Fossil Hard coal;643;0.66;-0.78;0.1656027
6;Fossil Gas;1358;0.72;-0.84;0.2730401
7;Fossil Gas;1712;0.72;-0.84;0.2780699
8;Fossil Gas;984;0.7;-0.8;0.2832895
9;Fossil Gas;2268;0.67;-0.79;0.2887099
10;Fossil Gas;790;0.72;-0.84;0.3002011
11;Fossil Gas;435;0.72;-0.84;0.3062985
12;Fossil Gas;851;0.66;-0.765;0.3126499
13;Fossil Gas;260;0.66;-0.72;0.3252508
14;Fossil Gas;103;0.6806;-0.7875;0.3143732
15;Fossil Gas;422;0.72;-0.84;0.3021418
16;Fossil Gas;676;0.69;-0.81;0.3261812
17;Fossil Gas;229;0.6806;-0.7875;0.4692669
18;Fossil Gas;144;0.78;-0.72;0.3844699
19;Fossil Gas;209;0.66;-0.78;0.3945499
20;Fossil Gas;725;0.48;-0.6;0.4163899
21;Fossil Gas;440;0.72;-0.84;0.2987399
22;Biomass;447;0;0;0.005059386
