hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,663.6,365.4,0.0,0.0,0.0,47.24226500000077,0.0,0.0,0.0,0.0,0.0,0.0,447.0
1,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,1473.2032159999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
2,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,698.8564880000001,748.4399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
3,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,12.20514600000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
4,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,63.69465500000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
5,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,937.6540040000002,748.4399999999998,161.43682599999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
6,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,730.2368259999996,313.2,561.6600000000001,0.0,70.1018,303.84,0.0,0.0,0.0,0.0,0.0,0.0,447.0
7,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,171.6,103.0,422.0,449.5435199999996,0.0,0.0,0.0,0.0,0.0,447.0
8,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,746.4839520000002,0.0,32.8982,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
9,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,171.6,103.0,422.0,419.8276100000006,0.0,0.0,0.0,0.0,0.0,447.0
10,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,712.6984779999998,28.836372999999867,81.1125,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
11,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,69.60000000000002,61.68347799999975,0.0,0.0,67.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,447.0
12,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,177.8432759999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
13,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,151.49521399999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
14,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2211.447199,221.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
15,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,313.2,561.6600000000001,0.0,44.64181600000012,303.84,0.0,0.0,0.0,0.0,0.0,0.0,447.0
16,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,514.1843829999995,0.0,32.8982,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
17,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,171.6,103.0,422.0,421.4364100000006,0.0,0.0,0.0,0.0,0.0,447.0
18,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,82.23655199999958,81.1125,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
19,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,773.1987090000005,121.80000000000001,199.985,0.0,0.0,67.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,447.0
20,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,761.6450000000001,0.0,18.7964750000001,371.36,0.0,0.0,0.0,0.0,0.0,0.0,447.0
21,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,670.0506629999996,171.6,81.1125,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
22,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,591.4082040000003,109.2608340000001,19.03566299999966,0.0,0.0,67.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,447.0
23,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,422.4608340000001,0.0,0.0,0.0,371.36,0.0,0.0,0.0,0.0,0.0,0.0,447.0
